loc_name,loc_desc,chemical_name,result_numeric,sample_date,ppt_unit,zipcode,city,county,method_detection_limit,loc_purpose,loc_type,remark_1
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorooctanesulfonic acid (PFOS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Perfluorotridecanoic acid (PFTriA),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221810,SCHOOL IN THE WOODS ACAD SD20,Hexafluoropropylene oxide dimer acid,0,3/30/2020,ppt,80920,COLORADO SPRINGS,EL PASO,0.44,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Total PFAS,3.25,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorotridecanoic acid (PFTriA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorotetradecanoic (PFTeA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorononanoic acid (PFNA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluoroheptanoic acid (PFHpA),0.74,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorobutanesulfonic acid (PFBS),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,"PFOS and PFOA, Total Combined",1.62,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorodecanoic acid (PFDA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorohexanesulfonic acid (PFHxS),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Hexafluoropropylene oxide dimer acid,0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorooctanesulfonic acid (PFOS),0.42,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluoroundecanoic acid (PFUnA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorohexanoic acid (PFHxA),0.89,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorododecanoic acid (PFDoA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,Perfluorooctanoic acid (PFOA),1.2,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0221980,WOLFORD ELEMENTARY SCHOOL DISTRICT 20,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,3/30/2020,ppt,80908,COLORADO SPRINGS,EL PASO,0.41,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluoroheptanoic acid (PFHpA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorobutanesulfonic acid (PFBS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorononanoic acid (PFNA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,"PFOS and PFOA, Total Combined",0,4/10/2020,ppt,80138,PARKER,DOUGLAS,,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorotridecanoic acid (PFTriA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorohexanesulfonic acid (PFHxS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,9-chlorohexadecafluoro-3-oxanone-1-sulfonic acid (9Cl-PF3ONS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorotetradecanoic (PFTeA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorodecanoic acid (PFDA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorooctanesulfonic acid (PFOS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorododecanoic acid (PFDoA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorohexanoic acid (PFHxA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluoroundecanoic acid (PFUnA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,11-chloroeicosafluoro-3-oxaundecane-1-sulfonic acid (11Cl-PF3OUdS),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Hexafluoropropylene oxide dimer acid,0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Total PFAS,0,4/10/2020,ppt,80138,PARKER,DOUGLAS,,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorooctanoic acid (PFOA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,"4,8-dioxa-3H-perfluorononanoic acid (ADONA)",0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.45,PWS,EP,Public Water System
CO0118076,STONEGATE MD,"PFOS and PFOA, Total Combined",2.5,4/10/2020,ppt,80138,PARKER,DOUGLAS,,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Total PFAS,9.21,4/10/2020,ppt,80138,PARKER,DOUGLAS,,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Hexafluoropropylene oxide dimer acid,0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorooctanesulfonic acid (PFOS),1.1,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluoroundecanoic acid (PFUnA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,N-methyl perfluorooctanesulfonamidoacetic acid (MeFOSAA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,N-ethyl perfluorooctanesulfonamidoacetic acid (EtFOSAA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorododecanoic acid (PFDoA),0,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
CO0118076,STONEGATE MD,Perfluorooctanoic acid (PFOA),1.4,4/10/2020,ppt,80138,PARKER,DOUGLAS,0.44,PWS,EP,Public Water System
