cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All-site Cancer,1990,Alamosa,13,13617,95.46889917,129.5561439,1311.880946
All-site Cancer,1990,Arapahoe,226,393289,57.46410401,102.2083149,51.37142651
All-site Cancer,1990,Archuleta,4,5352,74.73841555,127.1125555,4762.988364
All-site Cancer,1990,Baca,8,4556,175.5926251,121.6290089,1825.836065
All-site Cancer,1990,Bent,6,5048,118.858954,96.35696457,1639.426067
All-site Cancer,1990,Boulder,117,226022,51.76487245,80.43812457,57.43277526
All-site Cancer,1990,Broomfield,,0,,,
All-site Cancer,1990,Chaffee,16,12684,126.1431725,113.1784376,804.3473203
All-site Cancer,1990,Cheyenne,,2397,,,
All-site Cancer,1990,Clear Creek,8,7619,105.0006563,160.378856,3956.763274
All-site Cancer,1990,Conejos,5,7453,67.08707903,65.03071054,847.6597345
All-site Cancer,1990,Costilla,6,3190,188.0877743,154.6236005,3905.725479
All-site Cancer,1990,Crowley,3,3946,76.0263558,67.16550548,1493.314326
All-site Cancer,1990,Custer,,1926,,,
All-site Cancer,1990,Delta,36,20980,171.5919924,135.519366,572.6029069
All-site Cancer,1990,Denver,678,467856,144.9163845,140.2089501,29.0553848
All-site Cancer,1990,Dolores,,1504,,,
All-site Cancer,1990,Douglas,19,61562,30.86319483,89.04175085,556.5359877
All-site Cancer,1990,Eagle,8,22106,36.18926988,123.0538308,3213.658843
All-site Cancer,1990,Elbert,9,9746,92.34557767,135.7678398,2224.444559
All-site Cancer,1990,El Paso,249,397889,62.58026736,103.1012781,45.82972012
All-site Cancer,1990,Fremont,38,32221,117.9355079,86.00488502,196.929192
All-site Cancer,1990,Garfield,25,30149,82.92148993,113.4467608,520.3318422
All-site Cancer,1990,Gilpin,,3070,,,
All-site Cancer,1990,Grand,4,7967,50.20710431,85.42136092,2633.62507
All-site Cancer,1990,Gunnison,5,10273,48.67127421,87.19666128,1664.600992
All-site Cancer,1990,Hinsdale,,467,,,
All-site Cancer,1990,Huerfano,19,6009,316.1923781,237.8199011,3201.892533
All-site Cancer,1990,Jackson,3,1605,186.9158879,192.4369934,12341.66316
All-site Cancer,1990,Jefferson,361,439886,82.06671729,132.1992924,51.55887875
All-site Cancer,1990,Kiowa,,1688,,,
All-site Cancer,1990,Kit Carson,8,7140,112.0448179,92.73729849,1073.287587
All-site Cancer,1990,Lake,3,6007,49.94173464,111.8292936,6015.563892
All-site Cancer,1990,La Plata,13,32466,40.04188998,56.83430437,255.1872644
All-site Cancer,1990,Larimer,127,187078,67.88612237,88.82798226,64.19273351
All-site Cancer,1990,Las Animas,26,13765,188.8848529,134.8105876,739.8490882
All-site Cancer,1990,Lincoln,7,4715,148.4623542,104.6555372,1570.982925
All-site Cancer,1990,Logan,17,17491,97.19284203,86.1210439,443.92881
All-site Cancer,1990,Mesa,124,93572,132.5182747,130.1460153,137.0256795
All-site Cancer,1990,Mineral,,558,,,
All-site Cancer,1990,Moffat,5,11357,44.02571102,67.91954292,932.9897834
All-site Cancer,1990,Montezuma,18,18672,96.40102828,113.7562127,740.8893266
All-site Cancer,1990,Montrose,30,24563,122.1349184,113.4718692,439.6241844
All-site Cancer,1990,Morgan,27,22073,122.3213881,110.2799736,462.8743957
All-site Cancer,1990,Otero,26,20185,128.8085212,100.1438761,390.4048799
All-site Cancer,1990,Ouray,3,2295,130.7189543,208.4579968,14569.4091
All-site Cancer,1990,Park,4,7260,55.09641873,57.12497118,836.8834722
All-site Cancer,1990,Phillips,7,4189,167.1043208,96.47436194,1338.195042
All-site Cancer,1990,Pitkin,3,12661,23.69481084,87.24021655,4549.457076
All-site Cancer,1990,Prowers,7,13240,52.87009063,55.22722857,436.5460679
All-site Cancer,1990,Pueblo,159,122886,129.3882135,121.525674,93.73204887
All-site Cancer,1990,Rio Blanco,4,6063,65.97394029,84.99233164,1889.032537
All-site Cancer,1990,Rio Grande,14,10770,129.990715,126.0409969,1139.031849
All-site Cancer,1990,Routt,9,14169,63.51894982,99.1249186,1359.224502
All-site Cancer,1990,Saguache,3,4619,64.94912319,77.47690493,2006.100506
All-site Cancer,1990,San Juan,,745,,,
All-site Cancer,1990,San Miguel,3,3723,80.58017728,202.3415427,22878.85571
All-site Cancer,1990,Sedgwick,,2690,,,
All-site Cancer,1990,Summit,,12926,,,
All-site Cancer,1990,Teller,6,12471,48.11161896,118.7664077,2784.169949
All-site Cancer,1990,Washington,3,4812,62.34413965,46.08242833,707.9240839
All-site Cancer,1990,Weld,118,131964,89.41832621,113.6490848,110.8623118
All-site Cancer,1990,Yuma,6,8954,67.00915792,67.72272548,816.6378231
All-site Cancer,1990,Unknown,,,,,
All-site Cancer,1991,Colorado,2925,3380938,86.5144525,113.9328682,4.504814516
All-site Cancer,1991,Adams,210,273620,76.74877567,129.8143088,88.9285474
All-site Cancer,1991,Alamosa,11,13641,80.63924932,103.7046395,995.0791974
All-site Cancer,1991,Arapahoe,255,403200,63.24404762,112.0494541,53.43852252
All-site Cancer,1991,Archuleta,7,5624,124.4665718,184.4851278,5601.593046
All-site Cancer,1991,Baca,14,4438,315.4574133,229.4407502,4054.456375
All-site Cancer,1991,Bent,5,4965,100.7049345,86.64548727,1461.913455
All-site Cancer,1991,Boulder,101,230977,43.72729752,68.37644921,47.67684888
All-site Cancer,1991,Broomfield,,0,,,
All-site Cancer,1991,Chaffee,23,12866,178.7657392,164.9151091,1187.510126
All-site Cancer,1991,Cheyenne,4,2477,161.4856682,127.2251339,4051.192794
All-site Cancer,1991,Clear Creek,5,7663,65.24859716,158.8145459,5227.104683
All-site Cancer,1991,Conejos,8,7535,106.1712011,108.7964925,1460.587741
All-site Cancer,1991,Costilla,,3264,,,
All-site Cancer,1991,Crowley,4,3974,100.6542526,98.44607599,2632.260221
All-site Cancer,1991,Custer,3,2010,149.2537313,147.0154715,7177.353118
All-site Cancer,1991,Delta,34,21227,160.1733641,109.3575063,372.8008837
All-site Cancer,1991,Denver,520,475184,109.431294,108.356327,22.68771772
All-site Cancer,1991,Dolores,,1432,,,
All-site Cancer,1991,Douglas,31,66688,46.48512476,178.5494097,1150.435969
All-site Cancer,1991,Eagle,10,23459,42.62756298,139.263958,4115.21758
All-site Cancer,1991,Elbert,9,10267,87.65949158,123.8589101,1859.140385
All-site Cancer,1991,El Paso,356,405951,87.69531298,146.6978265,63.37923053
All-site Cancer,1991,Fremont,34,32236,105.472143,82.56301505,206.8205341
All-site Cancer,1991,Garfield,24,31228,76.85410529,94.92416426,388.6516261
All-site Cancer,1991,Gilpin,4,3091,129.4079586,238.4394646,15759.06435
All-site Cancer,1991,Grand,8,8391,95.3402455,151.7503214,3842.438353
All-site Cancer,1991,Gunnison,,10413,,,
All-site Cancer,1991,Hinsdale,,449,,,
All-site Cancer,1991,Huerfano,12,6060,198.019802,141.5959465,1659.382883
All-site Cancer,1991,Jackson,,1560,,,
All-site Cancer,1991,Jefferson,339,449663,75.38979191,117.941519,43.30687988
All-site Cancer,1991,Kiowa,3,1682,178.3590963,159.5434843,9123.421477
All-site Cancer,1991,Kit Carson,7,7156,97.82001118,90.24777456,1176.998081
All-site Cancer,1991,Lake,,6136,,,
All-site Cancer,1991,La Plata,28,33411,83.80473497,112.8442968,471.0406772
All-site Cancer,1991,Larimer,150,193546,77.50095585,101.6005931,70.35402633
All-site Cancer,1991,Las Animas,32,13816,231.6155182,159.8277123,817.8983224
All-site Cancer,1991,Lincoln,6,5432,110.4565538,93.46198349,1584.679144
All-site Cancer,1991,Logan,27,17499,154.2945311,134.3575929,670.280466
All-site Cancer,1991,Mesa,123,95990,128.1383477,123.3361583,123.8984285
All-site Cancer,1991,Mineral,,571,,,
All-site Cancer,1991,Moffat,9,11453,78.58203091,108.3495784,1331.1581
All-site Cancer,1991,Montezuma,17,19062,89.18266709,92.1945801,512.4413289
All-site Cancer,1991,Montrose,40,25272,158.2779361,140.6745335,498.5650141
All-site Cancer,1991,Morgan,30,22703,132.1411267,115.5614388,443.8931434
All-site Cancer,1991,Otero,31,20374,152.154707,123.8328822,503.2106272
All-site Cancer,1991,Ouray,,2414,,,
All-site Cancer,1991,Park,6,7699,77.93219899,100.0665456,2158.628647
All-site Cancer,1991,Phillips,6,4201,142.8231374,97.41737051,1914.57136
All-site Cancer,1991,Pitkin,,12984,,,
All-site Cancer,1991,Prowers,10,12961,77.15454055,81.90316611,663.0432131
All-site Cancer,1991,Pueblo,166,123482,134.4325489,129.4269794,101.7468152
All-site Cancer,1991,Rio Blanco,3,6024,49.80079681,64.15685675,1422.852936
All-site Cancer,1991,Rio Grande,15,10842,138.3508578,122.6071252,997.9230571
All-site Cancer,1991,Routt,9,14729,61.1039446,119.6591079,2000.90484
All-site Cancer,1991,Saguache,5,4735,105.5966209,115.7197859,2720.723426
All-site Cancer,1991,San Juan,,703,,,
All-site Cancer,1991,San Miguel,,4124,,,
All-site Cancer,1991,Sedgwick,5,2668,187.4062969,154.3684771,5534.111433
All-site Cancer,1991,Summit,8,13469,59.39564927,179.6271937,9856.439825
All-site Cancer,1991,Teller,11,12717,86.49838799,168.8142619,3624.856491
All-site Cancer,1991,Washington,10,4784,209.0301003,158.9560963,2495.125923
All-site Cancer,1991,Weld,119,135739,87.66824568,109.5799603,102.2422062
All-site Cancer,1991,Yuma,8,9007,88.81980682,74.35419949,707.7054297
All-site Cancer,1991,Unknown,,,,,
All-site Cancer,1992,Colorado,2938,3489860,84.18675821,110.3984726,4.203833473
All-site Cancer,1992,Adams,195,281386,69.29982302,115.5762909,75.54257329
All-site Cancer,1992,Alamosa,4,13572,29.47244327,34.83013587,321.0253671
All-site Cancer,1992,Arapahoe,256,417678,61.29123392,107.0247243,47.53478601
All-site Cancer,1992,Archuleta,,5888,,,
All-site Cancer,1992,Baca,14,4298,325.732899,212.8164862,3311.003356
All-site Cancer,1992,Bent,3,5037,59.55926147,54.70589528,1052.598044
All-site Cancer,1992,Boulder,127,238392,53.27359979,83.28093797,56.2453836
All-site Cancer,1992,Broomfield,,0,,,
All-site Cancer,1992,Chaffee,23,13119,175.3182407,158.3869332,1065.89749
All-site Cancer,1992,Cheyenne,5,2407,207.7274616,156.0972342,4544.16146
All-site Cancer,1992,Clear Creek,6,7834,76.58922645,103.4534816,1947.567091
All-site Cancer,1992,Conejos,5,7513,66.55131106,65.84607703,886.0014647
All-site Cancer,1992,Costilla,6,3196,187.7346683,174.8908096,5223.196744
All-site Cancer,1992,Crowley,4,4140,96.61835749,100.6384775,2547.680241
All-site Cancer,1992,Custer,4,2139,187.0032726,243.6744444,13415.09044
All-site Cancer,1992,Delta,47,21870,214.9062643,150.8013788,521.6118921
All-site Cancer,1992,Denver,549,488265,112.438942,111.0478577,22.45132741
All-site Cancer,1992,Dolores,,1401,,,
All-site Cancer,1992,Douglas,32,75360,42.46284501,103.834896,500.5873932
All-site Cancer,1992,Eagle,9,24938,36.08950197,74.39776511,1156.230056
All-site Cancer,1992,Elbert,3,10764,27.87068005,39.34688953,587.9544207
All-site Cancer,1992,El Paso,302,422819,71.42536168,112.947571,44.72946457
All-site Cancer,1992,Fremont,51,33818,150.8072624,115.9411476,266.9854905
All-site Cancer,1992,Garfield,25,31348,79.7499043,105.7111927,457.3499935
All-site Cancer,1992,Gilpin,3,3239,92.62117938,171.6672947,10668.19405
All-site Cancer,1992,Grand,4,8605,46.48460198,67.09707355,1229.281863
All-site Cancer,1992,Gunnison,8,10771,74.27351221,118.8169654,2060.95585
All-site Cancer,1992,Hinsdale,,504,,,
All-site Cancer,1992,Huerfano,19,6182,307.3439017,218.8679981,2623.752744
All-site Cancer,1992,Jackson,,1577,,,
All-site Cancer,1992,Jefferson,353,463534,76.15406853,116.7248532,40.41639144
All-site Cancer,1992,Kiowa,,1700,,,
All-site Cancer,1992,Kit Carson,9,7234,124.4124965,106.7280367,1269.102927
All-site Cancer,1992,Lake,3,6208,48.32474227,100.3407726,4161.805826
All-site Cancer,1992,La Plata,17,34430,49.37554458,64.94387474,258.110586
All-site Cancer,1992,Larimer,149,199664,74.62537062,99.61933711,67.30242343
All-site Cancer,1992,Las Animas,19,14034,135.3854924,90.6132408,443.6961368
All-site Cancer,1992,Lincoln,8,5972,133.9584729,123.1089703,2040.61538
All-site Cancer,1992,Logan,16,17567,91.07986566,80.2890397,406.1697355
All-site Cancer,1992,Mesa,145,97408,148.85841,141.110434,137.4321786
All-site Cancer,1992,Mineral,,582,,,
All-site Cancer,1992,Moffat,6,11697,51.2952039,64.25842454,719.8318681
All-site Cancer,1992,Montezuma,16,19654,81.40836471,89.76154384,512.5156535
All-site Cancer,1992,Montrose,37,26219,141.1190358,126.5462949,436.6495748
All-site Cancer,1992,Morgan,37,23486,157.5406625,137.9571424,512.0881829
All-site Cancer,1992,Otero,36,20293,177.4010743,141.8608002,565.886643
All-site Cancer,1992,Ouray,4,2533,157.9155152,179.7089685,8916.468918
All-site Cancer,1992,Park,4,8089,49.44987019,85.69264158,3444.275881
All-site Cancer,1992,Phillips,7,4230,165.4846336,93.29730839,1266.987803
All-site Cancer,1992,Pitkin,5,13365,37.41114852,81.17879423,1707.70528
All-site Cancer,1992,Prowers,13,13102,99.2214929,106.9361994,872.8335641
All-site Cancer,1992,Pueblo,161,124412,129.4087387,121.2958584,91.69846579
All-site Cancer,1992,Rio Blanco,5,6177,80.94544277,105.1982599,2250.48865
All-site Cancer,1992,Rio Grande,8,10944,73.09941521,65.16676136,531.8822906
All-site Cancer,1992,Routt,8,15153,52.79482611,157.5024042,3001.7716
All-site Cancer,1992,Saguache,,4796,,,
All-site Cancer,1992,San Juan,,575,,,
All-site Cancer,1992,San Miguel,,4563,,,
All-site Cancer,1992,Sedgwick,7,2633,265.8564375,167.1333581,4229.066306
All-site Cancer,1992,Summit,3,13845,21.66847237,95.16365476,4701.928988
All-site Cancer,1992,Teller,3,13673,21.94105171,68.02248134,1737.875692
All-site Cancer,1992,Washington,7,4892,143.0907604,116.1557427,2041.821899
All-site Cancer,1992,Weld,136,140128,97.05412195,123.3321383,112.8206962
All-site Cancer,1992,Yuma,5,9008,55.5062167,53.13416547,587.1457815
All-site Cancer,1992,Unknown,,,,,
All-site Cancer,1993,Colorado,2852,3605050,79.11124672,101.6808747,3.679891906
All-site Cancer,1993,Adams,216,290782,74.28245215,121.3829571,75.20030623
All-site Cancer,1993,Alamosa,8,13656,58.58230814,70.38364983,621.5588652
All-site Cancer,1993,Arapahoe,252,427474,58.95095374,95.96360929,38.82117394
All-site Cancer,1993,Archuleta,,6183,,,
All-site Cancer,1993,Baca,14,4325,323.699422,199.2221243,2806.621057
All-site Cancer,1993,Bent,,5357,,,
All-site Cancer,1993,Boulder,142,247282,57.42431718,86.16423904,54.50046761
All-site Cancer,1993,Broomfield,,0,,,
All-site Cancer,1993,Chaffee,24,13702,175.1569114,152.0016328,956.3786879
All-site Cancer,1993,Cheyenne,,2307,,,
All-site Cancer,1993,Clear Creek,10,8039,124.3935813,235.0800609,6325.805757
All-site Cancer,1993,Conejos,7,7641,91.61104568,88.88106707,1118.492851
All-site Cancer,1993,Costilla,3,3342,89.76660682,82.24490329,2353.538503
All-site Cancer,1993,Crowley,10,4140,241.5458937,222.2723306,4694.328675
All-site Cancer,1993,Custer,,2322,,,
All-site Cancer,1993,Delta,37,23237,159.2288161,113.0060911,377.600397
All-site Cancer,1993,Denver,523,501336,104.3212536,104.6332048,20.97061524
All-site Cancer,1993,Dolores,,1426,,,
All-site Cancer,1993,Douglas,32,83128,38.49485131,123.3162189,599.0678682
All-site Cancer,1993,Eagle,7,26834,26.08630842,57.51763081,1406.840728
All-site Cancer,1993,Elbert,10,11535,86.69267447,131.6477302,1923.853048
All-site Cancer,1993,El Paso,307,437127,70.23130578,105.6466633,38.45190313
All-site Cancer,1993,Fremont,44,36504,120.5347359,96.86293779,217.3573475
All-site Cancer,1993,Garfield,33,32579,101.2922435,135.6987404,565.0414852
All-site Cancer,1993,Gilpin,6,3372,177.9359431,432.2649564,31319.38349
All-site Cancer,1993,Grand,4,8930,44.79283315,78.67236258,2002.213303
All-site Cancer,1993,Gunnison,4,11306,35.37944454,66.3885251,1180.431317
All-site Cancer,1993,Hinsdale,,535,,,
All-site Cancer,1993,Huerfano,10,6443,155.2072016,111.5606783,1279.602646
All-site Cancer,1993,Jackson,,1628,,,
All-site Cancer,1993,Jefferson,349,476206,73.28761082,108.0075038,34.958984
All-site Cancer,1993,Kiowa,3,1700,176.4705882,150.4767405,7609.906715
All-site Cancer,1993,Kit Carson,10,7262,137.7031121,127.9464273,1675.099541
All-site Cancer,1993,Lake,5,6265,79.8084597,122.6528293,4119.123656
All-site Cancer,1993,La Plata,21,35595,58.99705015,79.98988915,314.6318354
All-site Cancer,1993,Larimer,122,206849,58.98022229,77.12926877,49.39624531
All-site Cancer,1993,Las Animas,28,14215,196.9750264,150.6176398,875.8535515
All-site Cancer,1993,Lincoln,6,5882,102.0061204,74.99422709,941.1111854
All-site Cancer,1993,Logan,12,17965,66.79654885,58.90019035,288.3388884
All-site Cancer,1993,Mesa,118,99901,118.1169358,112.561011,106.8156554
All-site Cancer,1993,Mineral,,603,,,
All-site Cancer,1993,Moffat,,11797,,,
All-site Cancer,1993,Montezuma,23,20645,111.4071204,121.7044722,649.907162
All-site Cancer,1993,Montrose,34,27284,124.6151591,112.9998831,376.0287999
All-site Cancer,1993,Morgan,28,24238,115.5210826,102.9195624,379.0076815
All-site Cancer,1993,Otero,28,20435,137.0198189,111.752123,454.9841918
All-site Cancer,1993,Ouray,4,2652,150.8295626,224.4224729,12924.23449
All-site Cancer,1993,Park,6,8575,69.97084548,260.2464259,12276.22103
All-site Cancer,1993,Phillips,10,4373,228.6759662,135.366539,2158.75182
All-site Cancer,1993,Pitkin,7,14060,49.78662873,89.5799889,1357.888967
All-site Cancer,1993,Prowers,11,13420,81.96721312,83.62345766,634.7747742
All-site Cancer,1993,Pueblo,136,126356,107.6324037,98.92065433,72.28785457
All-site Cancer,1993,Rio Blanco,5,6261,79.85944737,105.8603121,2234.040612
All-site Cancer,1993,Rio Grande,9,11210,80.28545941,75.67153853,642.4626395
All-site Cancer,1993,Routt,8,15925,50.23547881,74.44923695,835.3232552
All-site Cancer,1993,Saguache,7,4831,144.8975367,173.0380462,4254.199887
All-site Cancer,1993,San Juan,,541,,,
All-site Cancer,1993,San Miguel,,4869,,,
All-site Cancer,1993,Sedgwick,3,2650,113.2075472,117.6582862,5063.071298
All-site Cancer,1993,Summit,4,15189,26.33484759,30.43465583,280.1779415
All-site Cancer,1993,Teller,3,14734,20.36106964,40.09745731,810.2377469
All-site Cancer,1993,Washington,7,5139,136.2132711,100.3236127,1419.661555
All-site Cancer,1993,Weld,120,145779,82.31638302,106.9053649,95.72978191
All-site Cancer,1993,Yuma,10,9172,109.0274749,87.99126772,800.8810702
All-site Cancer,1993,Unknown,,,,,
All-site Cancer,1994,Colorado,2897,3712085,78.04239397,100.0986324,3.503224377
All-site Cancer,1994,Adams,224,300793,74.46981811,122.248378,72.84980237
All-site Cancer,1994,Alamosa,6,13826,43.39649935,53.38414058,493.4466257
All-site Cancer,1994,Arapahoe,233,436413,53.38979361,88.91890804,35.35873164
All-site Cancer,1994,Archuleta,3,6538,45.88559192,62.67312924,1751.315216
All-site Cancer,1994,Baca,14,4387,319.1246866,184.9975847,2367.810806
All-site Cancer,1994,Bent,5,5401,92.57544899,91.19189689,1669.958959
All-site Cancer,1994,Boulder,99,252726,39.17285914,60.45730168,37.97220169
All-site Cancer,1994,Broomfield,,0,,,
All-site Cancer,1994,Chaffee,25,14104,177.2546795,161.609799,1020.528072
All-site Cancer,1994,Cheyenne,3,2297,130.6051371,112.1359841,4383.857756
All-site Cancer,1994,Clear Creek,9,8460,106.3829787,231.5045988,6411.687491
All-site Cancer,1994,Conejos,9,7746,116.1890008,115.4627045,1501.799162
All-site Cancer,1994,Costilla,4,3379,118.3782184,132.3483009,4414.908964
All-site Cancer,1994,Crowley,7,4213,166.1523855,155.3902853,3440.410661
All-site Cancer,1994,Custer,,2414,,,
All-site Cancer,1994,Delta,44,24343,180.750113,127.471769,394.641827
All-site Cancer,1994,Denver,541,504252,107.287626,109.5805334,22.23325464
All-site Cancer,1994,Dolores,4,1500,266.6666667,273.9787923,19122.92774
All-site Cancer,1994,Douglas,40,92530,43.22922296,141.6143074,610.8575221
All-site Cancer,1994,Eagle,16,29026,55.12299318,98.2762025,1555.623259
All-site Cancer,1994,Elbert,4,12846,31.13809746,59.62303268,958.1246117
All-site Cancer,1994,El Paso,313,456506,68.5642686,101.4256682,34.65009704
All-site Cancer,1994,Fremont,50,38711,129.1622536,104.2878007,219.2068644
All-site Cancer,1994,Garfield,12,34496,34.78664193,46.20647985,186.58696
All-site Cancer,1994,Gilpin,,3499,,,
All-site Cancer,1994,Grand,6,9348,64.18485238,81.50118424,1249.708182
All-site Cancer,1994,Gunnison,5,11667,42.8559184,57.59121226,671.6413757
All-site Cancer,1994,Hinsdale,,614,,,
All-site Cancer,1994,Huerfano,11,6914,159.0974834,122.41495,1444.140794
All-site Cancer,1994,Jackson,,1646,,,
All-site Cancer,1994,Jefferson,337,483432,69.7099075,101.1032454,31.47622122
All-site Cancer,1994,Kiowa,3,1698,176.6784452,152.9298707,8574.240289
All-site Cancer,1994,Kit Carson,9,7340,122.6158038,100.2232874,1108.462418
All-site Cancer,1994,Lake,,6378,,,
All-site Cancer,1994,La Plata,25,36904,67.74333406,85.69819561,309.4016666
All-site Cancer,1994,Larimer,151,214930,70.255432,90.53218082,55.22725041
All-site Cancer,1994,Las Animas,25,14753,169.4570596,107.8885027,460.976781
All-site Cancer,1994,Lincoln,10,5936,168.4636119,129.6047685,1710.338173
All-site Cancer,1994,Logan,14,18831,74.34549413,63.71762594,288.7770255
All-site Cancer,1994,Mesa,131,102757,127.4852322,117.3888211,105.1404137
All-site Cancer,1994,Mineral,,648,,,
All-site Cancer,1994,Moffat,9,11997,75.01875469,98.58498143,1120.021448
All-site Cancer,1994,Montezuma,20,21390,93.50163628,101.0941835,515.2147803
All-site Cancer,1994,Montrose,45,28505,157.8670409,133.1364242,393.9065543
All-site Cancer,1994,Morgan,37,25078,147.5396762,137.2305734,516.7408797
All-site Cancer,1994,Otero,30,20489,146.4200303,122.7627313,518.9673565
All-site Cancer,1994,Ouray,,2904,,,
All-site Cancer,1994,Park,5,9526,52.48792778,75.16597421,1408.509028
All-site Cancer,1994,Phillips,6,4403,136.2707245,93.61786576,1581.873007
All-site Cancer,1994,Pitkin,,14539,,,
All-site Cancer,1994,Prowers,9,13693,65.7270138,64.93777836,464.7383616
All-site Cancer,1994,Pueblo,148,128721,114.9773541,106.5023443,76.64940253
All-site Cancer,1994,Rio Blanco,,6318,,,
All-site Cancer,1994,Rio Grande,12,11466,104.6572475,95.77629708,768.6548991
All-site Cancer,1994,Routt,12,16619,72.20651062,135.2240481,1928.994166
All-site Cancer,1994,Saguache,,4943,,,
All-site Cancer,1994,San Juan,,558,,,
All-site Cancer,1994,San Miguel,4,5308,75.35795026,137.6560205,6753.440982
All-site Cancer,1994,Sedgwick,,2660,,,
All-site Cancer,1994,Summit,3,17107,17.53668089,17.35982411,106.2901275
All-site Cancer,1994,Teller,4,15786,25.33890789,32.92603724,345.6485225
All-site Cancer,1994,Washington,7,5220,134.0996169,111.6443048,1852.858666
All-site Cancer,1994,Weld,130,151375,85.87943848,107.3665104,90.25466952
All-site Cancer,1994,Yuma,5,9278,53.89092477,39.3850222,310.4797301
All-site Cancer,1994,Unknown,4,,,,
All-site Cancer,1995,Colorado,2892,3811078,75.88404121,96.45784327,3.259728796
All-site Cancer,1995,Adams,207,312587,66.22156392,101.6748599,54.91729247
All-site Cancer,1995,Alamosa,10,14103,70.90689924,89.59484577,815.9452646
All-site Cancer,1995,Arapahoe,216,442542,48.80892661,74.8003231,27.24995873
All-site Cancer,1995,Archuleta,,7110,,,
All-site Cancer,1995,Baca,11,4432,248.1949459,156.7202804,2262.518186
All-site Cancer,1995,Bent,12,5555,216.0216022,168.1107916,2307.421805
All-site Cancer,1995,Boulder,112,257502,43.49480781,64.58033936,38.60171158
All-site Cancer,1995,Broomfield,,0,,,
All-site Cancer,1995,Chaffee,16,14659,109.1479637,100.223986,641.5788143
All-site Cancer,1995,Cheyenne,3,2270,132.1585903,127.3658282,5540.454079
All-site Cancer,1995,Clear Creek,11,8686,126.640571,220.42822,5249.235362
All-site Cancer,1995,Conejos,6,7877,76.17113114,74.02137067,882.9395574
All-site Cancer,1995,Costilla,3,3521,85.20306731,83.44554474,2356.136238
All-site Cancer,1995,Crowley,7,4220,165.8767773,170.2185497,4071.366836
All-site Cancer,1995,Custer,3,2621,114.4601297,104.3510354,3790.151093
All-site Cancer,1995,Delta,33,25193,130.9887667,81.45865085,199.9954063
All-site Cancer,1995,Denver,519,507720,102.221697,104.0917849,20.80339382
All-site Cancer,1995,Dolores,,1557,,,
All-site Cancer,1995,Douglas,30,103836,28.89171386,77.47799904,271.2613254
All-site Cancer,1995,Eagle,10,30882,32.38132245,41.08235614,224.9722312
All-site Cancer,1995,Elbert,7,14325,48.86561955,83.14273177,1092.286465
All-site Cancer,1995,El Paso,320,469692,68.12975312,102.5110174,34.30981308
All-site Cancer,1995,Fremont,44,40520,108.5883514,94.11494353,208.5963493
All-site Cancer,1995,Garfield,25,36417,68.64925722,80.56592431,269.8019368
All-site Cancer,1995,Gilpin,4,3670,108.9918256,192.5710632,9581.488077
All-site Cancer,1995,Grand,7,9952,70.33762058,86.69978824,1221.613347
All-site Cancer,1995,Gunnison,9,11982,75.112669,125.5031549,1972.46861
All-site Cancer,1995,Hinsdale,,657,,,
All-site Cancer,1995,Huerfano,13,7159,181.5896075,138.8624046,1627.839083
All-site Cancer,1995,Jackson,,1613,,,
All-site Cancer,1995,Jefferson,347,491314,70.62693105,100.9070386,30.25229522
All-site Cancer,1995,Kiowa,3,1638,183.1501832,160.0227138,9263.768553
All-site Cancer,1995,Kit Carson,11,7413,148.3879671,124.9257179,1416.565387
All-site Cancer,1995,Lake,7,7148,97.92949077,165.6419966,4708.387217
All-site Cancer,1995,La Plata,20,38760,51.5995872,66.07353132,226.1186109
All-site Cancer,1995,Larimer,128,221626,57.75495655,74.8389566,44.14955631
All-site Cancer,1995,Las Animas,29,14907,194.5394781,149.2660116,814.49373
All-site Cancer,1995,Lincoln,5,5984,83.55614973,63.06960784,793.2430421
All-site Cancer,1995,Logan,19,19372,98.07970266,85.19722773,380.0264419
All-site Cancer,1995,Mesa,99,105412,93.91720108,86.62130716,75.87304733
All-site Cancer,1995,Mineral,,669,,,
All-site Cancer,1995,Moffat,6,12189,49.22471081,59.35693459,618.7964945
All-site Cancer,1995,Montezuma,20,22159,90.25678054,95.50961985,459.6043569
All-site Cancer,1995,Montrose,35,29669,117.9682497,103.3587431,307.9387944
All-site Cancer,1995,Morgan,34,25367,134.0324043,121.6889978,435.3222607
All-site Cancer,1995,Otero,49,20698,236.7378491,196.0326254,797.329869
All-site Cancer,1995,Ouray,,3080,,,
All-site Cancer,1995,Park,15,10575,141.8439716,267.3715548,6695.535884
All-site Cancer,1995,Phillips,3,4477,67.00915792,39.60633098,538.5458802
All-site Cancer,1995,Pitkin,11,14652,75.07507508,84.02374285,894.3137068
All-site Cancer,1995,Prowers,12,13822,86.81811605,88.05036999,647.1745572
All-site Cancer,1995,Pueblo,190,130831,145.22552,132.2500108,92.06082474
All-site Cancer,1995,Rio Blanco,6,6400,93.75,116.8608465,2252.190334
All-site Cancer,1995,Rio Grande,5,11695,42.75331338,42.96339802,375.2125163
All-site Cancer,1995,Routt,7,17257,40.5632497,83.84432217,1173.087979
All-site Cancer,1995,Saguache,9,5273,170.6808269,187.529553,3943.70069
All-site Cancer,1995,San Juan,,581,,,
