cause_of_death,year_of_death,county_of_residence,deaths,population,crude_rate,age_adjusted_rate,variance
All Causes,1981,Douglas,84,27560.6,304.7829147,678.0557757,6623.665229
All Causes,1981,Eagle,44,13817.52,318.4363041,901.8535008,27048.42016
All Causes,1981,Elbert,35,7167.53,488.3132683,695.2417239,13504.03426
All Causes,1981,El Paso,1753,322220.95,544.0366308,931.1933431,507.8131295
All Causes,1981,Fremont,350,29566.63,1183.76697,974.9021286,2707.885759
All Causes,1981,Garfield,153,24985.56,612.3536955,864.9783804,5054.828275
All Causes,1981,Gilpin,11,2665.67,412.6542295,737.3882043,53247.73319
All Causes,1981,Grand,37,7796.68,474.560967,967.9971802,33908.28749
All Causes,1981,Gunnison,44,10714.52,410.657687,963.6218314,21981.38457
All Causes,1981,Hinsdale,,501.31,,,
All Causes,1981,Huerfano,69,6371.5,1082.947501,815.0223443,9451.440897
All Causes,1981,Jackson,13,2068.85,628.3684172,840.412135,56619.89565
All Causes,1981,Jefferson,1986,386456.36,513.9001982,982.6778945,510.5106811
All Causes,1981,Kiowa,27,2043.21,1321.450071,1196.022203,49832.92078
All Causes,1981,Kit Carson,59,7558.48,780.5802225,741.9909231,9109.126467
All Causes,1981,Lake,33,9026.25,365.6003324,891.571803,37067.59772
All Causes,1981,La Plata,197,28576.54,689.3766705,1020.558333,5226.45104
All Causes,1981,Larimer,923,153838.87,599.978406,875.115395,809.0307677
All Causes,1981,Las Animas,173,15168.54,1140.518468,936.6506858,5128.907017
All Causes,1981,Lincoln,60,4553.47,1317.676409,987.5992018,16684.13903
All Causes,1981,Logan,167,19825.56,842.3469501,871.0324252,4323.10142
All Causes,1981,Mesa,653,87118.71,749.5519619,914.5551656,1238.520738
All Causes,1981,Mineral,4,955.9,418.4538132,665.7392336,124862.8807
All Causes,1981,Moffat,77,13710.52,561.6125428,961.2269936,13179.7335
All Causes,1981,Montezuma,120,17640.52,680.2520561,894.9833179,6707.141977
All Causes,1981,Montrose,179,25076.56,713.814016,814.3153582,3642.533402
All Causes,1981,Morgan,211,22480.56,938.5887184,953.0933435,4111.323823
All Causes,1981,Otero,248,22568.6,1098.871884,1018.948888,4025.895837
All Causes,1981,Ouray,12,2101.51,571.0179823,619.0215814,35474.51011
